"date","region/province","lat","long","confirmed","deaths","recovered","active"
"2020-02-03","Angola","-11.203","17.874","0","0","0","0"
"2020-02-04","Angola","-11.203","17.874","0","0","0","0"
"2020-02-05","Angola","-11.203","17.874","0","0","0","0"
"2020-02-06","Angola","-11.203","17.874","0","0","0","0"
"2020-02-07","Angola","-11.203","17.874","0","0","0","0"
"2020-02-08","Angola","-11.203","17.874","0","0","0","0"
"2020-02-09","Angola","-11.203","17.874","0","0","0","0"
"2020-02-10","Angola","-11.203","17.874","0","0","0","0"
"2020-02-11","Angola","-11.203","17.874","0","0","0","0"
"2020-02-12","Angola","-11.203","17.874","0","0","0","0"
"2020-02-13","Angola","-11.203","17.874","0","0","0","0"
"2020-02-14","Angola","-11.203","17.874","0","0","0","0"
"2020-02-15","Angola","-11.203","17.874","0","0","0","0"
"2020-02-16","Angola","-11.203","17.874","0","0","0","0"
"2020-02-17","Angola","-11.203","17.874","0","0","0","0"
"2020-02-18","Angola","-11.203","17.874","0","0","0","0"
"2020-02-19","Angola","-11.203","17.874","0","0","0","0"
"2020-02-20","Angola","-11.203","17.874","0","0","0","0"
"2020-02-21","Angola","-11.203","17.874","0","0","0","0"
"2020-02-22","Angola","-11.203","17.874","0","0","0","0"
"2020-02-23","Angola","-11.203","17.874","0","0","0","0"
"2020-02-24","Angola","-11.203","17.874","0","0","0","0"
"2020-02-25","Angola","-11.203","17.874","0","0","0","0"
"2020-02-26","Angola","-11.203","17.874","0","0","0","0"
"2020-02-27","Angola","-11.203","17.874","0","0","0","0"
"2020-02-28","Angola","-11.203","17.874","0","0","0","0"
"2020-02-29","Angola","-11.203","17.874","0","0","0","0"
"2020-03-01","Angola","-11.203","17.874","0","0","0","0"
"2020-03-02","Angola","-11.203","17.874","0","0","0","0"
"2020-03-03","Angola","-11.203","17.874","0","0","0","0"
"2020-03-04","Angola","-11.203","17.874","0","0","0","0"
"2020-03-05","Angola","-11.203","17.874","0","0","0","0"
"2020-03-06","Angola","-11.203","17.874","0","0","0","0"
"2020-03-07","Angola","-11.203","17.874","0","0","0","0"
"2020-03-08","Angola","-11.203","17.874","0","0","0","0"
"2020-03-09","Angola","-11.203","17.874","0","0","0","0"
"2020-03-10","Angola","-11.203","17.874","0","0","0","0"
"2020-03-11","Angola","-11.203","17.874","0","0","0","0"
"2020-03-12","Angola","-11.203","17.874","0","0","0","0"
"2020-03-13","Angola","-11.203","17.874","0","0","0","0"
"2020-03-14","Angola","-11.203","17.874","0","0","0","0"
"2020-03-15","Angola","-11.203","17.874","0","0","0","0"
"2020-03-16","Angola","-11.203","17.874","0","0","0","0"
"2020-03-17","Angola","-11.203","17.874","0","0","0","0"
"2020-03-18","Angola","-11.203","17.874","0","0","0","0"
"2020-03-19","Angola","-11.203","17.874","0","0","0","0"
"2020-03-20","Angola","-11.203","17.874","1","0","0","1"
"2020-03-21","Angola","-11.203","17.874","2","0","0","2"
"2020-03-22","Angola","-11.203","17.874","2","0","0","2"
"2020-03-23","Angola","-11.203","17.874","3","0","0","3"
"2020-03-24","Angola","-11.203","17.874","3","0","0","3"
"2020-03-25","Angola","-11.203","17.874","3","0","0","3"
"2020-03-26","Angola","-11.203","17.874","4","0","0","4"
"2020-03-27","Angola","-11.203","17.874","4","0","0","4"
"2020-03-28","Angola","-11.203","17.874","5","0","0","5"
"2020-03-29","Angola","-11.203","17.874","7","2","0","5"
"2020-03-30","Angola","-11.203","17.874","7","2","0","5"
"2020-03-31","Angola","-11.203","17.874","7","2","1","4"
"2020-04-01","Angola","-11.203","17.874","8","2","1","5"
"2020-04-02","Angola","-11.203","17.874","8","2","1","5"
"2020-04-03","Angola","-11.203","17.874","8","2","1","5"
"2020-04-04","Angola","-11.203","17.874","10","2","2","6"
"2020-04-05","Angola","-11.203","17.874","14","2","2","10"
"2020-04-06","Angola","-11.203","17.874","16","2","2","12"
"2020-04-07","Angola","-11.203","17.874","17","2","2","13"
"2020-04-08","Angola","-11.203","17.874","19","2","2","15"
"2020-04-09","Angola","-11.203","17.874","19","2","2","15"
"2020-04-10","Angola","-11.203","17.874","19","2","2","15"
"2020-04-11","Angola","-11.203","17.874","19","2","4","13"
"2020-04-12","Angola","-11.203","17.874","19","2","4","13"
"2020-04-13","Angola","-11.203","17.874","19","2","4","13"
"2020-04-14","Angola","-11.203","17.874","19","2","5","12"
"2020-04-15","Angola","-11.203","17.874","19","2","5","12"
"2020-04-16","Angola","-11.203","17.874","19","2","5","12"
"2020-04-17","Angola","-11.203","17.874","19","2","5","12"
"2020-04-18","Angola","-11.203","17.874","24","2","6","16"
"2020-04-19","Angola","-11.203","17.874","24","2","6","16"
"2020-04-20","Angola","-11.203","17.874","24","2","6","16"
"2020-04-21","Angola","-11.203","17.874","24","2","6","16"
"2020-04-22","Angola","-11.203","17.874","25","2","6","17"
"2020-01-22","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-23","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-24","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-25","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-26","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-27","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-28","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
"2020-01-29","Antigua and Barbuda","17.061","-61.796","0","0","0","0"
